Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Brooklyn,Brownsville,4ef520a36c25074226ff0101,Golden Krust Caribbean Bakery and Grill,1,7.3,1
Brooklyn,Brownsville,4c0fbd6fd64c0f47b13d2a5d,Golden Krust Caribbean Restaurant,2,6.5,3
Brooklyn,Bushwick,5798f12338fa634535d766d3,Sally Roots,131,8.9,26
Brooklyn,Bedford Stuyvesant,562d4a03498ed563c9a7ab8c,Kafe Louverture,23,8.3,7
Brooklyn,Bedford Stuyvesant,5650f85b498ecdb849435a7d,Angela’s,55,8.3,31
Brooklyn,Bedford Stuyvesant,4a623b9df964a52076c31fe3,A & A Bake & Doubles,94,8.8,57
Brooklyn,Bedford Stuyvesant,4c3dbd0d980320a176608ce4,Tastee Pattee,12,7.5,6
Brooklyn,Fort Greene,5ae70ca64c954c002c618bff,Imani Caribbean Kitchen & Bar,30,8.6,2
Brooklyn,East New York,4bc5ee81db8fa593846e9b37,Island Pot Restaurant,21,6.2,12
Brooklyn,Starrett City,4c50b469375c0f47c406bb92,Golden Krust Caribbean Restaurant,2,6.7,1
Brooklyn,Canarsie,4c1843941436a593e12e8d75,De Islands Caribbean Resturant,17,7.6,11
Brooklyn,Canarsie,5324a973498e4a9ae2e3bc77,Chloe's Restaurant and Lounge,14,6.5,3
Brooklyn,Canarsie,4c15458477cea59341f4d160,Golden Krust Caribbean Restaurant,6,6.6,3
Brooklyn,Canarsie,4cb39fba6c26952153f9b9d9,Dougie's Jamaican Cuisine,7,6.3,5
Brooklyn,Canarsie,4baebdcef964a520ebd33be3,Bamboo Garden,13,6.1,11
Brooklyn,Flatlands,4c1321d0b7b9c928c029a937,Blue Mountain Farm,29,8.1,5
Brooklyn,Flatlands,4c47260096abd13a1cc96f01,Topaze Restaurant,10,7.5,1
Brooklyn,Flatlands,5408fd2f498e50d72d583283,Trelawni Place,25,6.9,10
Brooklyn,Flatlands,4bfd2559f61dc9b6bc8a9ede,Golden Krust Caribbean Restaurant,5,6.7,4
Brooklyn,Flatlands,0,0,0,0.0,0
Brooklyn,Coney Island,45053091f964a520e6381fe3,Footprints Cafe,65,6.9,39
Brooklyn,Coney Island,4bd8c4572e6f0f47d3820808,Golden Krust Caribbean Restaurant,1,6.8,4
Brooklyn,Marine Park,4b6b21aff964a520e0f42be3,Golden Krust Caribbean Bakery and Grill,3,7.1,3
Brooklyn,Clinton Hill,5ae70ca64c954c002c618bff,Imani Caribbean Kitchen & Bar,30,8.6,2
Brooklyn,Prospect Lefferts Gardens,4a6cba95f964a52073d11fe3,Peppa's Jerk Chicken,162,9.0,57
Brooklyn,Prospect Lefferts Gardens,4bdcade72a3a0f470fecb3b6,MangoSeed Restaurant,177,8.8,77
Brooklyn,Prospect Lefferts Gardens,4d0e9e455b8a8cfa5e50eb83,De Hot Pot Roti Shop,73,8.8,23
Brooklyn,Prospect Lefferts Gardens,4c79b5f683a7bfb7527f7ff8,Errol's Caribbean Bakery,11,8.0,5
Brooklyn,Prospect Lefferts Gardens,54fbad6b498e83b622d3c796,The Food Sermon,164,9.2,38
Brooklyn,Prospect Lefferts Gardens,4e0904426284d9ee92de668b,Golden Krust Caribbean Restaurant,12,7.9,8
Brooklyn,Prospect Lefferts Gardens,4b085b46f964a520f50923e3,Gloria's,30,8.1,12
Brooklyn,Prospect Lefferts Gardens,4bd3475c046076b084a97571,Culpepper's,20,7.0,13
Brooklyn,Prospect Lefferts Gardens,4e26eebed16486291ba4d622,Jen's Roti Shop,16,7.7,7
Brooklyn,Prospect Lefferts Gardens,4cd4918576ab721eacf3676a,Soldiers Jamaican,20,7.1,9
Brooklyn,Prospect Lefferts Gardens,4e21d5c6e4cdf68591898a5e,Caribbean Vibes,13,7.7,5
Brooklyn,Prospect Lefferts Gardens,4c5dd01cd25320a1a924c77a,De Bamboo Express Restaurant & Bakery,11,7.2,4
Brooklyn,Prospect Lefferts Gardens,4a611b29f964a520dec11fe3,Nio's Trinidad Roti Shop,31,7.5,13
Brooklyn,Prospect Lefferts Gardens,5a0f90888264443d4b674cdf,Caribbean Social,16,7.2,8
Brooklyn,Ocean Hill,4c0fbd6fd64c0f47b13d2a5d,Golden Krust Caribbean Restaurant,2,6.5,3
Brooklyn,Prospect Park South,57597fd8498e2922f0ff1b22,Island Express,26,8.5,5
Brooklyn,Prospect Park South,4d69b5bfde28224b66f646be,fisherman's Cove,22,7.8,5
Brooklyn,Prospect Park South,4cb8984bbac937044c4fde7c,Golden Krust Caribbean Restaurant,4,7.2,1
Brooklyn,Prospect Park South,4bdcade72a3a0f470fecb3b6,MangoSeed Restaurant,177,8.8,77
